e2e_latency,jitter,bit_rate,packet_loss_rate,peak_data_rate_dl,peak_data_rate_ul,mobility,service_reliability,availability,survival_time,experience_data_rate_dl,experience_data_rate_ul,interruption_time,class,cpu_usage,bandwidth,cpu_category,bandwidth_category
30.0,2.0,130.0,0.4,2.0,1.0,90.0,99.7,99.4,800.0,130.0,170.0,10.0,Connected Vehicles,45.0,120.0,medium_cpu,low_bandwidth
20.0,8.0,800.0,0.4,0.5,0.9,100.0,99.3,99.6,800.0,900.0,90.0,15.0,Immersive Experience,60.0,80.0,medium_cpu,low_bandwidth
18.0,6.0,70.0,0.2,0.4,0.8,50.0,98.8,99.8,140.0,25.0,18.0,8.0,e-Health,25.0,55.0,low_cpu,low_bandwidth
20.0,1.0,500.0,0.0,5.0,4.0,80.0,99.6,100.0,500.0,300.0,20.0,30.0,Immersive Experience,55.0,500.0,medium_cpu,high_bandwidth
25.0,2.5,400.0,0.0,2.5,2.5,50.0,99.3,99.8,650.0,200.0,30.0,120.0,Connected Vehicles,55.0,600.0,medium_cpu,high_bandwidth
20.0,1.0,150.0,0.0,4.0,2.0,30.0,99.5,99.5,110.0,120.0,80.0,5.0,ITS (Intelligent Transportation Systems),40.0,180.0,medium_cpu,medium_bandwidth
14.0,2.5,50.0,0.2,0.6,0.5,50.0,98.3,92.0,140.0,50.0,30.0,7.0,UHD Video Streaming,40.0,60.0,medium_cpu,low_bandwidth
20.0,2.2,100.0,0.2,6.0,0.8,100.0,99.5,99.7,800.0,10.0,20.0,50.0,Immersive Experience,30.0,200.0,medium_cpu,medium_bandwidth
10.0,2.0,450.0,0.1,2.0,4.0,70.0,97.0,96.5,7000.0,50.0,45.0,45.0,UHD Video Streaming,65.0,40.0,medium_cpu,low_bandwidth
15.0,2.0,100.0,0.3,0.5,0.2,90.0,99.5,99.8,600.0,80.0,50.0,18.0,Connected Vehicles,35.0,200.0,medium_cpu,medium_bandwidth
12.0,4.0,80.0,0.2,3.5,0.4,70.0,97.5,96.0,500.0,30.0,25.0,120.0,ITS (Intelligent Transportation Systems),40.0,200.0,medium_cpu,medium_bandwidth
9.0,1.2,50.0,0.3,1.4,1.8,60.0,99.0,99.0,120.0,120.0,55.0,10.0,Smart Grid,60.0,50.0,medium_cpu,low_bandwidth
30.0,6.0,50.0,0.1,0.9,0.5,10.0,99.9,100.0,100.0,50.0,5.0,100.0,Industry Automation,65.0,180.0,medium_cpu,medium_bandwidth
15.0,1.3,800.0,0.3,6.0,8.0,60.0,99.0,99.1,800.0,150.0,180.0,5.0,Industry Automation,30.0,500.0,medium_cpu,high_bandwidth
12.0,6.0,200.0,0.0,6.0,1.0,120.0,99.9,99.6,300.0,150.0,40.0,10.0,Smart Grid,30.0,800.0,medium_cpu,high_bandwidth
20.0,0.8,150.0,0.2,0.5,0.5,70.0,99.9,99.8,200.0,170.0,55.0,100.0,UHD Video Streaming,50.0,400.0,medium_cpu,high_bandwidth
12.0,2.2,110.0,0.1,1.4,2.3,70.0,99.7,99.8,700.0,110.0,90.0,12.0,Vo5G (Voice over 5G),65.0,120.0,medium_cpu,low_bandwidth
10.0,2.0,350.0,0.0,4.0,1.0,110.0,99.9,99.7,2500.0,350.0,270.0,5.0,ITS (Intelligent Transportation Systems),60.0,200.0,medium_cpu,medium_bandwidth
20.0,4.0,120.0,0.3,1.0,2.0,60.0,99.7,99.7,5000.0,60.0,20.0,10.0,e-Health,70.0,130.0,high_cpu,low_bandwidth
14.0,4.0,400.0,0.6,3.0,1.5,130.0,97.0,97.0,500.0,220.0,40.0,800.0,Connected Vehicles,35.0,500.0,medium_cpu,high_bandwidth
15.0,2.5,150.0,0.1,2.2,2.5,55.0,99.6,99.9,250.0,108.0,80.0,12.0,Immersive Experience,35.0,65.0,medium_cpu,low_bandwidth
12.0,1.5,300.0,0.2,0.5,0.5,30.0,99.8,99.6,700.0,200.0,40.0,6.0,Smart Grid,30.0,140.0,medium_cpu,low_bandwidth
